	Zola_Nana_0	Zola_Nana_1	Zola_Nana_2	Zola_Nana_3	Zola_Nana_4	Zola_Nana_5	Zola_Nana_6	Zola_Nana_7	Zola_Nana_8	Zola_Nana_9	Zola_Nana_10	Zola_Nana_11	Zola_Nana_12	Zola_Nana_13	Zola_Nana_14	Zola_Nana_15	Zola_Nana_16	Zola_Nana_17	Zola_Nana_18	Zola_Nana_19	Zola_Nana_20	Zola_Nana_21	Zola_Nana_22	Zola_Nana_23	Zola_Nana_24	Zola_Nana_25	Zola_Nana_26	Zola_Nana_27	Zola_Nana_28	Zola_Nana_29	Zola_Nana_30	Zola_Nana_31	Zola_Nana_32	Zola_Nana_33	Zola_Nana_34	Zola_Nana_sum
bien_ADV_bien	6.0	10.0	5.0	12.0	9.0	8.0	10.0	10.0	11.0	10.0	7.0	10.0	13.0	9.0	9.0	11.0	11.0	14.0	14.0	12.0	13.0	13.0	10.0	17.0	15.0	6.0	10.0	13.0	12.0	9.0	6.0	17.0	6.0	12.0	5.0	365.0
très_ADV_très	11.0	18.0	12.0	6.0	12.0	9.0	13.0	22.0	3.0	8.0	6.0	11.0	10.0	12.0	13.0	7.0	5.0	10.0	16.0	5.0	11.0	10.0	11.0	14.0	12.0	13.0	7.0	8.0	6.0	11.0	9.0	4.0	8.0	4.0	10.0	347.0
La_DET:ART_le	20.0	30.0	12.0	8.0	11.0	18.0	8.0	11.0	11.0	10.0	7.0	9.0	11.0	12.0	4.0	6.0	7.0	11.0	5.0	8.0	9.0	3.0	6.0	3.0	8.0	11.0	15.0	11.0	6.0	21.0	7.0	2.0	11.0	6.0	3.0	341.0
on_PRO:PER_on	9.0	17.0	13.0	7.0	13.0	11.0	25.0	19.0	10.0	9.0	8.0	14.0	10.0	5.0	6.0	1.0	3.0	7.0	8.0	3.0	6.0	11.0	14.0	3.0	5.0	18.0	13.0	13.0	7.0	7.0	5.0	7.0	3.0	11.0	13.0	334.0
deux_NUM_deux	4.0	7.0	12.0	16.0	4.0	10.0	14.0	6.0	15.0	9.0	7.0	18.0	7.0	11.0	13.0	4.0	8.0	12.0	9.0	8.0	7.0	8.0	3.0	5.0	10.0	11.0	8.0	12.0	6.0	10.0	9.0	4.0	7.0	11.0	6.0	311.0
comme_KON_comme	8.0	4.0	5.0	8.0	5.0	5.0	7.0	9.0	10.0	11.0	7.0	8.0	10.0	10.0	8.0	9.0	7.0	11.0	7.0	12.0	8.0	12.0	6.0	10.0	9.0	9.0	10.0	5.0	11.0	9.0	7.0	11.0	19.0	11.0	12.0	310.0
en_PRO:PER_en	6.0	4.0	6.0	10.0	12.0	9.0	10.0	12.0	11.0	7.0	7.0	12.0	6.0	8.0	9.0	9.0	9.0	11.0	12.0	9.0	8.0	13.0	10.0	4.0	6.0	4.0	10.0	14.0	10.0	3.0	11.0	10.0	8.0	6.0	7.0	303.0
femme_NOM_femme	8.0	8.0	13.0	9.0	7.0	10.0	5.0	8.0	5.0	8.0	9.0	8.0	9.0	8.0	7.0	14.0	10.0	12.0	9.0	5.0	8.0	8.0	16.0	12.0	14.0	5.0	7.0	3.0	16.0	6.0	8.0	11.0	10.0	5.0	2.0	303.0
Le_DET:ART_le	18.0	13.0	12.0	10.0	9.0	13.0	9.0	7.0	12.0	14.0	14.0	13.0	8.0	12.0	10.0	6.0	6.0	9.0	4.0	3.0	5.0	4.0	9.0	7.0	11.0	5.0	7.0	9.0	4.0	8.0	7.0	8.0	6.0	5.0	5.0	302.0
sans_PRP_sans	2.0	6.0	7.0	13.0	7.0	10.0	9.0	6.0	7.0	7.0	12.0	10.0	7.0	10.0	12.0	8.0	9.0	7.0	12.0	13.0	5.0	9.0	10.0	11.0	5.0	7.0	4.0	7.0	11.0	6.0	13.0	7.0	7.0	9.0	10.0	295.0
