	Dickens_Barnaby	Dickens_Cricket	Dickens_Dombey	sum
softly	34.0	6.0	54.0	94.0
bad	42.0	4.0	48.0	94.0
lived	31.0	11.0	52.0	94.0
loved	20.0	17.0	57.0	94.0
service	26.0	3.0	65.0	94.0
pardon	28.0	2.0	64.0	94.0
effect	38.0	3.0	53.0	94.0
second	33.0	2.0	59.0	94.0
fall	53.0	4.0	37.0	94.0
ears	46.0	4.0	44.0	94.0
eh	63.0	7.0	24.0	94.0
particular	40.0	2.0	51.0	93.0
trust	31.0	6.0	56.0	93.0
letter	41.0	0.0	52.0	93.0
watch	32.0	1.0	60.0	93.0
appearance	43.0	5.0	45.0	93.0
stranger	43.0	16.0	33.0	92.0
sun	36.0	5.0	51.0	92.0
manager	0.0	0.0	92.0	92.0
earth	36.0	3.0	53.0	92.0
visitor	36.0	4.0	52.0	92.0
spoken	33.0	6.0	53.0	92.0
town	45.0	2.0	45.0	92.0
