	Aimard_TrappeursArkansas_0	Aimard_TrappeursArkansas_1	Aimard_TrappeursArkansas_2	Aimard_TrappeursArkansas_3	Aimard_TrappeursArkansas_4	Aimard_TrappeursArkansas_5	Aimard_TrappeursArkansas_6	Aimard_TrappeursArkansas_7	Aimard_TrappeursArkansas_8	Aimard_TrappeursArkansas_9	Aimard_TrappeursArkansas_10	Aimard_TrappeursArkansas_11	Aimard_TrappeursArkansas_12	Aimard_TrappeursArkansas_13	Aimard_TrappeursArkansas_14	Aimard_TrappeursArkansas_15	Aimard_TrappeursArkansas_16	Aimard_TrappeursArkansas_17	Aimard_TrappeursArkansas_18	Aimard_TrappeursArkansas_19	Aimard_TrappeursArkansas_20	Aimard_TrappeursArkansas_21	Aimard_TrappeursArkansas_sum
faire_VER:infi_faire	1.0	5.0	7.0	7.0	11.0	8.0	2.0	3.0	3.0	17.0	8.0	4.0	8.0	6.0	8.0	8.0	7.0	7.0	10.0	4.0	1.0	5.0	140.0
hommes_NOM_homme	2.0	2.0	3.0	6.0	3.0	14.0	8.0	10.0	1.0	3.0	5.0	5.0	9.0	14.0	5.0	14.0	4.0	2.0	6.0	14.0	5.0	1.0	136.0
:_PUN_:	4.0	9.0	4.0	6.0	1.0	4.0	5.0	3.0	5.0	11.0	7.0	6.0	8.0	11.0	9.0	6.0	5.0	7.0	6.0	10.0	6.0	3.0	136.0
ma_DET:POS_mon	1.0	12.0	1.0	4.0	6.0	3.0	10.0	9.0	3.0	0.0	7.0	13.0	9.0	5.0	4.0	2.0	4.0	11.0	4.0	4.0	11.0	12.0	135.0
général_ADJ_général	0.0	0.0	0.0	4.0	10.0	8.0	1.0	22.0	13.0	9.0	9.0	0.0	0.0	1.0	9.0	8.0	5.0	1.0	14.0	6.0	13.0	2.0	135.0
Il_PRO:PER_il	2.0	2.0	5.0	4.0	8.0	6.0	12.0	7.0	0.0	4.0	8.0	7.0	2.0	11.0	9.0	8.0	2.0	7.0	13.0	7.0	7.0	2.0	133.0
avoir_VER:infi_avoir	7.0	7.0	6.0	7.0	8.0	4.0	9.0	2.0	7.0	5.0	7.0	3.0	4.0	2.0	5.0	4.0	5.0	7.0	9.0	10.0	8.0	7.0	133.0
ai_VER:pres_avoir	1.0	6.0	2.0	2.0	4.0	5.0	4.0	6.0	3.0	4.0	9.0	9.0	16.0	5.0	12.0	0.0	4.0	10.0	5.0	6.0	11.0	7.0	131.0
dit-il_NOM_dit-il	2.0	10.0	2.0	5.0	3.0	1.0	15.0	2.0	8.0	9.0	5.0	10.0	8.0	5.0	8.0	3.0	4.0	4.0	9.0	9.0	6.0	2.0	130.0
votre_DET:POS_votre	1.0	9.0	5.0	4.0	3.0	1.0	6.0	6.0	2.0	10.0	3.0	6.0	5.0	5.0	10.0	5.0	9.0	10.0	6.0	3.0	16.0	4.0	129.0
c'_PRO:DEM_ce	8.0	3.0	6.0	2.0	9.0	4.0	4.0	8.0	1.0	6.0	4.0	9.0	7.0	4.0	9.0	4.0	8.0	10.0	6.0	2.0	8.0	4.0	126.0
y_PRO:PER_y	8.0	5.0	5.0	1.0	4.0	4.0	4.0	10.0	11.0	6.0	8.0	4.0	3.0	2.0	10.0	7.0	2.0	5.0	6.0	6.0	7.0	6.0	124.0
Je_PRO:PER_je	1.0	4.0	5.0	6.0	2.0	4.0	3.0	10.0	4.0	9.0	9.0	5.0	2.0	6.0	3.0	2.0	6.0	7.0	11.0	5.0	9.0	10.0	123.0
fille_NOM_fille	1.0	0.0	0.0	2.0	6.0	2.0	0.0	11.0	23.0	15.0	7.0	0.0	0.0	2.0	0.0	3.0	17.0	17.0	2.0	5.0	9.0	1.0	123.0
après_PRP_après	9.0	6.0	5.0	6.0	6.0	7.0	10.0	3.0	8.0	2.0	4.0	6.0	3.0	5.0	3.0	5.0	6.0	4.0	5.0	4.0	10.0	5.0	122.0
comme_KON_comme	7.0	5.0	6.0	8.0	5.0	5.0	3.0	4.0	6.0	7.0	6.0	6.0	7.0	9.0	4.0	2.0	4.0	5.0	3.0	7.0	8.0	3.0	120.0
sont_VER:pres_être	9.0	1.0	7.0	3.0	4.0	11.0	2.0	10.0	7.0	5.0	5.0	11.0	8.0	9.0	1.0	5.0	3.0	2.0	1.0	6.0	6.0	3.0	119.0
mère_NOM_mère	1.0	16.0	5.0	0.0	1.0	1.0	12.0	0.0	0.0	0.0	0.0	25.0	17.0	1.0	2.0	3.0	7.0	11.0	0.0	4.0	11.0	1.0	118.0
peu_ADV_peu	5.0	3.0	8.0	7.0	7.0	7.0	3.0	6.0	8.0	4.0	5.0	4.0	8.0	4.0	11.0	8.0	6.0	1.0	1.0	3.0	4.0	4.0	117.0
moi_PRO:PER_moi	1.0	7.0	3.0	3.0	0.0	3.0	7.0	3.0	3.0	5.0	10.0	2.0	10.0	3.0	7.0	0.0	6.0	11.0	6.0	2.0	13.0	11.0	116.0
si_KON_si	2.0	2.0	1.0	10.0	9.0	2.0	2.0	13.0	4.0	9.0	6.0	10.0	8.0	2.0	5.0	3.0	4.0	7.0	4.0	6.0	5.0	2.0	116.0
chasseurs_NOM_chasseur	1.0	0.0	10.0	20.0	17.0	2.0	9.0	4.0	0.0	2.0	0.0	7.0	2.0	9.0	0.0	6.0	6.0	2.0	3.0	16.0	0.0	0.0	116.0
ou_KON_ou	7.0	2.0	6.0	9.0	5.0	9.0	3.0	6.0	7.0	11.0	3.0	6.0	3.0	4.0	1.0	6.0	4.0	3.0	4.0	8.0	3.0	6.0	116.0
donc_ADV_donc	0.0	6.0	1.0	3.0	5.0	5.0	4.0	3.0	9.0	2.0	6.0	10.0	3.0	8.0	9.0	4.0	2.0	10.0	5.0	9.0	9.0	2.0	115.0
C'_PRO:DEM_ce	7.0	4.0	2.0	7.0	12.0	6.0	2.0	12.0	6.0	4.0	9.0	9.0	2.0	3.0	3.0	3.0	5.0	4.0	6.0	2.0	3.0	3.0	114.0
être_VER:infi_être	3.0	9.0	0.0	8.0	10.0	4.0	2.0	6.0	5.0	2.0	6.0	6.0	10.0	5.0	3.0	8.0	3.0	3.0	2.0	7.0	6.0	5.0	113.0
été_VER:pper_être	10.0	3.0	6.0	3.0	6.0	10.0	5.0	2.0	4.0	4.0	6.0	5.0	7.0	4.0	2.0	6.0	11.0	2.0	1.0	6.0	5.0	4.0	112.0
