	FevalPP_ErrantsNuit_0	FevalPP_ErrantsNuit_1	FevalPP_ErrantsNuit_2	FevalPP_ErrantsNuit_3	FevalPP_ErrantsNuit_4	FevalPP_ErrantsNuit_5	FevalPP_ErrantsNuit_6	FevalPP_ErrantsNuit_7	FevalPP_ErrantsNuit_8	FevalPP_ErrantsNuit_9	FevalPP_ErrantsNuit_10	FevalPP_ErrantsNuit_11	FevalPP_ErrantsNuit_12	FevalPP_ErrantsNuit_13	FevalPP_ErrantsNuit_14	FevalPP_ErrantsNuit_15	FevalPP_ErrantsNuit_16	FevalPP_ErrantsNuit_17	FevalPP_ErrantsNuit_18	FevalPP_ErrantsNuit_19	FevalPP_ErrantsNuit_20	FevalPP_ErrantsNuit_21	FevalPP_ErrantsNuit_22	FevalPP_ErrantsNuit_23	FevalPP_ErrantsNuit_24	FevalPP_ErrantsNuit_25	FevalPP_ErrantsNuit_sum
avec_PRP_avec	10.0	13.0	6.0	12.0	12.0	14.0	5.0	7.0	11.0	8.0	8.0	10.0	8.0	9.0	14.0	8.0	11.0	10.0	8.0	10.0	15.0	11.0	10.0	4.0	11.0	8.0	253.0
mais_KON_mais	10.0	12.0	8.0	9.0	4.0	8.0	10.0	10.0	10.0	11.0	12.0	14.0	8.0	8.0	7.0	14.0	14.0	7.0	9.0	9.0	7.0	12.0	8.0	9.0	10.0	8.0	248.0
Jean_NAM_jean	4.0	47.0	32.0	0.0	1.0	1.0	0.0	1.0	3.0	4.0	0.0	1.0	5.0	0.0	3.0	4.0	2.0	2.0	0.0	31.0	49.0	2.0	2.0	24.0	10.0	19.0	247.0
l'_PRO:PER_la|le	4.0	14.0	8.0	17.0	10.0	10.0	8.0	4.0	8.0	4.0	6.0	10.0	7.0	7.0	11.0	17.0	7.0	13.0	14.0	6.0	12.0	13.0	3.0	12.0	14.0	6.0	245.0
Les_DET:ART_le	15.0	10.0	10.0	3.0	18.0	13.0	4.0	4.0	4.0	7.0	11.0	12.0	10.0	14.0	13.0	12.0	4.0	8.0	3.0	7.0	9.0	7.0	6.0	5.0	15.0	8.0	232.0
elle_PRO:PER_elle	6.0	7.0	6.0	14.0	1.0	3.0	10.0	0.0	13.0	13.0	1.0	1.0	5.0	5.0	1.0	15.0	26.0	19.0	31.0	3.0	4.0	1.0	3.0	11.0	16.0	10.0	225.0
où_PRO:REL_où	4.0	8.0	5.0	11.0	15.0	13.0	6.0	5.0	9.0	4.0	4.0	5.0	9.0	10.0	9.0	13.0	10.0	10.0	3.0	14.0	13.0	13.0	7.0	7.0	10.0	7.0	224.0
c'_PRO:DEM_ce	6.0	5.0	10.0	7.0	7.0	5.0	11.0	22.0	9.0	10.0	9.0	5.0	4.0	14.0	9.0	6.0	4.0	8.0	9.0	11.0	18.0	4.0	7.0	7.0	6.0	3.0	216.0
Antoine_NAM_antoine	2.0	0.0	0.0	2.0	1.0	2.0	4.0	0.0	4.0	1.0	4.0	17.0	10.0	26.0	32.0	25.0	5.0	7.0	1.0	1.0	3.0	26.0	4.0	11.0	24.0	3.0	215.0
homme_NOM_homme	7.0	7.0	13.0	12.0	16.0	17.0	12.0	7.0	8.0	4.0	17.0	4.0	4.0	5.0	14.0	4.0	6.0	6.0	13.0	11.0	4.0	7.0	1.0	4.0	7.0	4.0	214.0
dit_VER:pres_dire	7.0	10.0	10.0	10.0	6.0	7.0	4.0	4.0	3.0	10.0	10.0	14.0	8.0	9.0	9.0	10.0	13.0	12.0	6.0	11.0	9.0	4.0	3.0	7.0	10.0	5.0	211.0
Je_PRO:PER_je	8.0	10.0	10.0	9.0	5.0	7.0	7.0	20.0	5.0	9.0	4.0	6.0	2.0	7.0	10.0	4.0	16.0	11.0	22.0	6.0	5.0	7.0	12.0	4.0	2.0	3.0	211.0
nuit_NOM_nuit	7.0	4.0	4.0	9.0	14.0	8.0	2.0	4.0	3.0	11.0	8.0	4.0	4.0	7.0	6.0	10.0	16.0	10.0	9.0	11.0	15.0	10.0	4.0	11.0	5.0	5.0	201.0
ces_PRO:DEM_ce	12.0	6.0	8.0	6.0	9.0	8.0	10.0	6.0	12.0	3.0	2.0	5.0	18.0	3.0	5.0	8.0	4.0	3.0	9.0	4.0	5.0	14.0	20.0	4.0	9.0	1.0	194.0
que_PRO:REL_que	3.0	6.0	6.0	2.0	9.0	5.0	8.0	11.0	4.0	12.0	7.0	9.0	6.0	14.0	8.0	2.0	13.0	13.0	10.0	8.0	10.0	6.0	7.0	5.0	8.0	2.0	194.0
On_PRO:PER_on	11.0	5.0	8.0	10.0	10.0	8.0	4.0	5.0	5.0	8.0	10.0	6.0	13.0	4.0	14.0	10.0	5.0	7.0	5.0	6.0	7.0	8.0	1.0	8.0	6.0	7.0	191.0
Mais_KON_mais	7.0	9.0	9.0	9.0	10.0	5.0	6.0	7.0	6.0	6.0	10.0	6.0	8.0	11.0	10.0	7.0	8.0	3.0	9.0	7.0	4.0	8.0	6.0	4.0	9.0	2.0	186.0
comme_KON_comme	9.0	6.0	9.0	6.0	8.0	4.0	3.0	3.0	7.0	3.0	5.0	13.0	7.0	9.0	11.0	6.0	8.0	5.0	12.0	9.0	5.0	9.0	9.0	5.0	10.0	4.0	185.0
en_PRO:PER_en	6.0	4.0	7.0	1.0	2.0	3.0	5.0	11.0	6.0	16.0	7.0	4.0	8.0	7.0	11.0	8.0	3.0	7.0	7.0	9.0	9.0	14.0	5.0	11.0	10.0	3.0	184.0
Honorine_NAM_honorine	1.0	3.0	5.0	9.0	1.0	7.0	13.0	1.0	0.0	0.0	4.0	1.0	1.0	1.0	11.0	23.0	31.0	26.0	23.0	4.0	2.0	3.0	2.0	7.0	3.0	1.0	183.0
point_ADV_point	4.0	4.0	10.0	6.0	5.0	8.0	5.0	4.0	10.0	3.0	6.0	6.0	4.0	7.0	4.0	14.0	8.0	7.0	9.0	5.0	8.0	7.0	7.0	16.0	9.0	5.0	181.0
ai_VER:pres_avoir	2.0	8.0	14.0	4.0	5.0	3.0	5.0	10.0	1.0	8.0	4.0	5.0	3.0	5.0	7.0	7.0	10.0	7.0	12.0	6.0	3.0	7.0	27.0	6.0	7.0	5.0	181.0
mon_DET:POS_mon	2.0	5.0	11.0	6.0	12.0	6.0	5.0	3.0	4.0	8.0	0.0	9.0	3.0	10.0	7.0	13.0	10.0	4.0	13.0	10.0	3.0	4.0	16.0	4.0	9.0	3.0	180.0
L'_DET:ART_le	1.0	9.0	12.0	11.0	10.0	7.0	5.0	8.0	5.0	9.0	5.0	2.0	4.0	7.0	8.0	5.0	10.0	3.0	4.0	7.0	5.0	10.0	7.0	7.0	6.0	8.0	175.0
père_NOM_père	1.0	5.0	4.0	5.0	4.0	3.0	6.0	3.0	14.0	11.0	3.0	3.0	6.0	2.0	6.0	7.0	23.0	14.0	21.0	3.0	5.0	1.0	8.0	5.0	7.0	1.0	171.0
encore_ADV_encore	11.0	7.0	7.0	4.0	8.0	2.0	3.0	6.0	5.0	4.0	4.0	7.0	8.0	9.0	6.0	5.0	15.0	7.0	9.0	4.0	9.0	6.0	5.0	7.0	7.0	5.0	170.0
Elle_PRO:PER_elle	3.0	7.0	4.0	16.0	0.0	4.0	12.0	2.0	5.0	7.0	0.0	2.0	5.0	4.0	4.0	7.0	21.0	9.0	23.0	4.0	0.0	1.0	0.0	10.0	11.0	7.0	168.0
voix_NOM_voix	6.0	5.0	7.0	6.0	7.0	5.0	4.0	6.0	3.0	4.0	6.0	15.0	2.0	5.0	7.0	4.0	6.0	10.0	8.0	9.0	16.0	3.0	0.0	2.0	9.0	8.0	163.0
étaient_VER:impf_être	8.0	8.0	6.0	4.0	16.0	10.0	6.0	5.0	4.0	4.0	4.0	8.0	6.0	2.0	4.0	10.0	6.0	10.0	2.0	6.0	3.0	3.0	5.0	4.0	13.0	5.0	162.0
fit_VER:simp_faire	4.0	5.0	5.0	7.0	7.0	5.0	5.0	9.0	6.0	12.0	6.0	8.0	6.0	9.0	7.0	4.0	6.0	5.0	9.0	6.0	12.0	5.0	2.0	4.0	2.0	4.0	160.0
là_ADV_là	4.0	9.0	6.0	6.0	9.0	9.0	6.0	3.0	4.0	4.0	4.0	6.0	5.0	5.0	1.0	4.0	3.0	7.0	7.0	12.0	7.0	7.0	5.0	7.0	15.0	3.0	158.0
Et_KON_et	6.0	4.0	8.0	8.0	3.0	1.0	8.0	10.0	6.0	9.0	15.0	13.0	5.0	5.0	6.0	7.0	4.0	5.0	5.0	4.0	5.0	6.0	1.0	6.0	5.0	1.0	156.0
aux_PRP:det_au	8.0	9.0	8.0	5.0	5.0	3.0	5.0	1.0	7.0	4.0	7.0	4.0	16.0	9.0	8.0	7.0	4.0	2.0	5.0	3.0	9.0	3.0	2.0	7.0	10.0	4.0	155.0
femme_NOM_femme	9.0	19.0	23.0	2.0	0.0	1.0	2.0	0.0	1.0	4.0	3.0	0.0	0.0	1.0	8.0	8.0	7.0	6.0	6.0	29.0	5.0	1.0	4.0	7.0	3.0	5.0	154.0
