	France_Thais_0	France_Thais_1	France_Thais_2	France_Thais_3	France_Thais_4	France_Thais_5	France_Thais_6	France_Thais_7	France_Thais_8	France_Thais_9	France_Thais_10	France_Thais_11	France_Thais_12	France_Thais_13	France_Thais_sum
toute_PRO:IND_tout	3.0	5.0	2.0	3.0	4.0	2.0	2.0	1.0	2.0	5.0	3.0	3.0	2.0	0.0	37.0
donc_ADV_donc	3.0	8.0	3.0	0.0	1.0	2.0	4.0	4.0	4.0	3.0	2.0	2.0	1.0	0.0	37.0
es_VER:pres_être	1.0	4.0	2.0	0.0	0.0	9.0	1.0	1.0	1.0	4.0	1.0	10.0	3.0	0.0	37.0
pieds_NOM_pied	1.0	4.0	2.0	2.0	5.0	4.0	0.0	4.0	2.0	4.0	1.0	8.0	0.0	0.0	37.0
mains_NOM_main	1.0	3.0	2.0	5.0	1.0	4.0	2.0	2.0	1.0	9.0	2.0	3.0	2.0	0.0	37.0
front_NOM_front	2.0	0.0	4.0	0.0	1.0	4.0	0.0	6.0	3.0	4.0	4.0	4.0	5.0	0.0	37.0
ombre_NOM_ombre	0.0	1.0	6.0	2.0	2.0	3.0	1.0	3.0	2.0	2.0	3.0	8.0	3.0	0.0	36.0
veux_VER:pres_vouloir	1.0	3.0	0.0	2.0	8.0	3.0	3.0	8.0	1.0	3.0	0.0	2.0	2.0	0.0	36.0
étant_VER:ppre_être	3.0	3.0	5.0	4.0	3.0	2.0	1.0	1.0	3.0	5.0	4.0	1.0	1.0	0.0	36.0
beauté_NOM_beauté	4.0	1.0	2.0	2.0	5.0	5.0	1.0	4.0	2.0	3.0	0.0	3.0	4.0	0.0	36.0
Un_DET:ART_un	2.0	2.0	8.0	1.0	1.0	1.0	2.0	1.0	5.0	2.0	5.0	3.0	2.0	1.0	36.0
-moi_PRO:PER_moi	2.0	6.0	0.0	1.0	0.0	5.0	0.0	3.0	3.0	3.0	1.0	3.0	9.0	0.0	36.0
fait_VER:pper_faire	3.0	5.0	3.0	0.0	1.0	2.0	4.0	3.0	6.0	3.0	2.0	2.0	2.0	0.0	36.0
Ils_PRO:PER_il	2.0	1.0	4.0	5.0	4.0	0.0	1.0	3.0	7.0	3.0	0.0	1.0	5.0	0.0	36.0
esprit_NOM_esprit	5.0	1.0	0.0	3.0	2.0	2.0	9.0	1.0	2.0	1.0	5.0	4.0	1.0	0.0	36.0
fils_NOM_fil|fils	2.0	4.0	4.0	7.0	5.0	1.0	1.0	5.0	1.0	0.0	2.0	1.0	2.0	0.0	35.0
désert_NOM_désert	6.0	6.0	0.0	2.0	0.0	6.0	1.0	1.0	1.0	6.0	0.0	2.0	4.0	0.0	35.0
Alexandrie_NAM_alexandrie	5.0	4.0	2.0	3.0	1.0	2.0	2.0	2.0	3.0	2.0	4.0	1.0	3.0	0.0	34.0
On_PRO:PER_on	1.0	3.0	1.0	8.0	1.0	2.0	3.0	2.0	1.0	2.0	8.0	2.0	0.0	0.0	34.0
afin_KON_afin	3.0	4.0	3.0	3.0	0.0	1.0	2.0	4.0	1.0	6.0	1.0	3.0	3.0	0.0	34.0
Puis_ADV_puis	2.0	0.0	1.0	5.0	2.0	3.0	2.0	3.0	4.0	1.0	3.0	3.0	4.0	0.0	33.0
maison_NOM_maison	3.0	2.0	0.0	7.0	8.0	1.0	0.0	4.0	6.0	2.0	0.0	0.0	0.0	0.0	33.0
jours_NOM_jour	6.0	2.0	0.0	5.0	1.0	2.0	2.0	2.0	2.0	4.0	4.0	0.0	3.0	0.0	33.0
dieux_NOM_dieu	0.0	0.0	3.0	3.0	2.0	3.0	10.0	7.0	3.0	0.0	2.0	0.0	0.0	0.0	33.0
fois_NOM_fois	3.0	3.0	2.0	4.0	2.0	3.0	2.0	1.0	3.0	6.0	2.0	1.0	0.0	0.0	32.0
or_NOM_or	1.0	2.0	5.0	2.0	6.0	1.0	2.0	0.0	8.0	0.0	1.0	2.0	2.0	0.0	32.0
avoir_VER:infi_avoir	2.0	3.0	3.0	3.0	4.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	5.0	0.0	32.0
Quand_KON_quand	3.0	0.0	1.0	4.0	5.0	0.0	2.0	2.0	2.0	4.0	2.0	4.0	3.0	0.0	32.0
choses_NOM_chose	2.0	5.0	1.0	1.0	0.0	2.0	4.0	6.0	1.0	5.0	1.0	3.0	0.0	0.0	31.0
été_VER:pper_être	4.0	3.0	0.0	0.0	1.0	3.0	3.0	3.0	5.0	1.0	2.0	3.0	3.0	0.0	31.0
autre_ADJ_autre	1.0	6.0	3.0	1.0	6.0	0.0	2.0	2.0	2.0	1.0	1.0	2.0	4.0	0.0	31.0
enfant_NOM_enfant	1.0	2.0	0.0	12.0	9.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	2.0	0.0	31.0
grande_ADJ_grand	3.0	1.0	4.0	1.0	0.0	2.0	4.0	0.0	2.0	5.0	3.0	5.0	1.0	0.0	31.0
paroles_NOM_parole	1.0	2.0	4.0	4.0	3.0	6.0	3.0	0.0	0.0	0.0	3.0	2.0	3.0	0.0	31.0
belle_ADJ_beau	1.0	1.0	2.0	2.0	5.0	6.0	3.0	3.0	1.0	1.0	1.0	3.0	2.0	0.0	31.0
ô_INT_ô	1.0	4.0	4.0	0.0	1.0	13.0	0.0	2.0	0.0	2.0	0.0	0.0	4.0	0.0	31.0
visage_NOM_visage	3.0	2.0	3.0	5.0	1.0	4.0	0.0	1.0	1.0	3.0	2.0	1.0	4.0	1.0	31.0
vu_VER:pper_voir	2.0	1.0	2.0	5.0	0.0	2.0	1.0	1.0	3.0	0.0	4.0	5.0	4.0	1.0	31.0
rien_ADV_rien	2.0	4.0	0.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	0.0	3.0	0.0	30.0
puis_ADV_puis	3.0	2.0	1.0	4.0	2.0	3.0	1.0	1.0	4.0	4.0	1.0	2.0	2.0	0.0	30.0
grâce_NOM_grâce	2.0	2.0	1.0	3.0	4.0	1.0	2.0	2.0	3.0	2.0	1.0	2.0	5.0	0.0	30.0
parce_KON_parce	4.0	2.0	3.0	2.0	2.0	1.0	4.0	1.0	0.0	2.0	1.0	5.0	3.0	0.0	30.0
mourir_VER:infi_mourir	1.0	1.0	1.0	4.0	1.0	3.0	2.0	3.0	1.0	0.0	0.0	0.0	13.0	0.0	30.0
vit_VER:pres_vivre	7.0	1.0	6.0	0.0	1.0	2.0	0.0	3.0	1.0	3.0	1.0	4.0	0.0	0.0	29.0
aussi_ADV_aussi	4.0	1.0	4.0	4.0	4.0	2.0	2.0	0.0	3.0	0.0	1.0	2.0	2.0	0.0	29.0
quelque_PRO:IND_quelque	6.0	4.0	1.0	0.0	1.0	2.0	0.0	1.0	7.0	3.0	2.0	1.0	1.0	0.0	29.0
faut_VER:pres_falloir	2.0	2.0	4.0	1.0	0.0	2.0	2.0	3.0	2.0	4.0	1.0	2.0	4.0	0.0	29.0
lumière_NOM_lumière	1.0	4.0	4.0	3.0	4.0	0.0	2.0	3.0	0.0	1.0	1.0	4.0	2.0	0.0	29.0
fit_VER:simp_faire	3.0	1.0	1.0	6.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	6.0	0.0	29.0
