	Aimard_BanditsArizona_0	Aimard_BanditsArizona_1	Aimard_BanditsArizona_2	Aimard_BanditsArizona_3	Aimard_BanditsArizona_4	Aimard_BanditsArizona_5	Aimard_BanditsArizona_6	Aimard_BanditsArizona_7	Aimard_BanditsArizona_8	Aimard_BanditsArizona_9	Aimard_BanditsArizona_10	Aimard_BanditsArizona_11	Aimard_BanditsArizona_12	Aimard_BanditsArizona_13	Aimard_BanditsArizona_14	Aimard_BanditsArizona_15	Aimard_BanditsArizona_16	Aimard_BanditsArizona_17	Aimard_BanditsArizona_sum
bandits_NOM_bandit	1.0	8.0	6.0	2.0	18.0	7.0	5.0	1.0	1.0	0.0	7.0	11.0	1.0	9.0	0.0	3.0	13.0	0.0	93.0
reprit_VER:simp_reprendre	3.0	10.0	6.0	9.0	3.0	4.0	6.0	6.0	11.0	4.0	1.0	4.0	3.0	4.0	5.0	7.0	3.0	4.0	93.0
homme_NOM_homme	7.0	6.0	9.0	6.0	4.0	4.0	6.0	2.0	11.0	4.0	11.0	4.0	4.0	0.0	3.0	2.0	6.0	4.0	93.0
rien_ADV_rien	4.0	4.0	3.0	3.0	5.0	2.0	4.0	7.0	6.0	5.0	7.0	9.0	5.0	4.0	2.0	11.0	6.0	6.0	93.0
quelques_PRO:IND_quelque	5.0	7.0	5.0	8.0	4.0	13.0	5.0	1.0	0.0	4.0	3.0	9.0	5.0	5.0	3.0	6.0	8.0	1.0	92.0
Sidi-Muley_NAM_sidi-muley	2.0	17.0	3.0	0.0	2.0	2.0	0.0	6.0	5.0	2.0	0.0	22.0	5.0	0.0	5.0	3.0	12.0	5.0	91.0
«_PUN:cit_«	0.0	9.0	14.0	0.0	0.0	0.0	0.0	0.0	11.0	46.0	2.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	91.0
fit_VER:simp_faire	8.0	4.0	1.0	2.0	5.0	5.0	8.0	7.0	7.0	9.0	3.0	2.0	2.0	2.0	12.0	4.0	5.0	3.0	89.0
Vous_PRO:PER_vous	5.0	5.0	5.0	4.0	4.0	1.0	12.0	6.0	4.0	4.0	7.0	4.0	0.0	9.0	4.0	7.0	3.0	5.0	89.0
ont_VER:pres_avoir	4.0	3.0	9.0	1.0	6.0	7.0	5.0	24.0	2.0	2.0	3.0	2.0	4.0	2.0	5.0	5.0	2.0	0.0	86.0
ainsi_ADV_ainsi	6.0	4.0	5.0	8.0	4.0	4.0	6.0	3.0	9.0	8.0	6.0	1.0	3.0	8.0	2.0	5.0	3.0	1.0	86.0
fut_VER:simp_être	4.0	5.0	3.0	1.0	4.0	3.0	1.0	3.0	9.0	7.0	9.0	6.0	4.0	5.0	10.0	2.0	6.0	3.0	85.0
elle_PRO:PER_elle	4.0	2.0	2.0	11.0	1.0	6.0	6.0	3.0	4.0	8.0	0.0	1.0	6.0	15.0	5.0	0.0	3.0	7.0	84.0
comme_ADV_comme	7.0	5.0	4.0	2.0	4.0	4.0	6.0	4.0	2.0	3.0	3.0	7.0	4.0	5.0	8.0	7.0	6.0	1.0	82.0
mes_DET:POS_mon	0.0	4.0	10.0	2.0	3.0	2.0	7.0	10.0	2.0	10.0	1.0	2.0	0.0	13.0	3.0	6.0	3.0	2.0	80.0
Et_KON_et	4.0	3.0	3.0	7.0	6.0	10.0	6.0	2.0	5.0	3.0	4.0	3.0	2.0	6.0	2.0	4.0	8.0	2.0	80.0
L'_DET:ART_le	1.0	2.0	0.0	1.0	2.0	4.0	7.0	4.0	3.0	0.0	4.0	6.0	3.0	7.0	3.0	23.0	7.0	3.0	80.0
La_DET:ART_le	2.0	4.0	4.0	4.0	4.0	3.0	1.0	3.0	3.0	9.0	3.0	4.0	3.0	9.0	2.0	7.0	3.0	11.0	79.0
si_ADV_si	3.0	5.0	4.0	7.0	3.0	7.0	2.0	5.0	9.0	3.0	3.0	5.0	6.0	5.0	3.0	2.0	2.0	4.0	78.0
..._PUN_...	4.0	3.0	2.0	1.0	5.0	6.0	8.0	9.0	5.0	2.0	1.0	4.0	0.0	2.0	5.0	0.0	9.0	12.0	78.0
ou_KON_ou	6.0	9.0	3.0	2.0	6.0	7.0	2.0	1.0	6.0	1.0	9.0	2.0	10.0	5.0	4.0	2.0	3.0	0.0	78.0
