	Ponson_Breda_0	Ponson_Breda_1	Ponson_Breda_2	Ponson_Breda_3	Ponson_Breda_4	Ponson_Breda_5	Ponson_Breda_6	Ponson_Breda_7	Ponson_Breda_8	Ponson_Breda_9	Ponson_Breda_10	Ponson_Breda_11	Ponson_Breda_12	Ponson_Breda_13	Ponson_Breda_sum
Karinoff_NAM_karinoff	0.0	4.0	3.0	5.0	6.0	5.0	4.0	0.0	1.0	0.0	2.0	6.0	12.0	6.0	54.0
bon_ADJ_bon	8.0	3.0	3.0	1.0	3.0	6.0	3.0	4.0	8.0	7.0	2.0	2.0	2.0	2.0	54.0
tous_PRO:IND_tout	5.0	3.0	3.0	6.0	2.0	4.0	4.0	4.0	11.0	1.0	2.0	5.0	2.0	2.0	54.0
C'_PRO:DEM_ce	1.0	0.0	3.0	2.0	6.0	6.0	6.0	5.0	4.0	7.0	3.0	2.0	7.0	2.0	54.0
dont_PRO:REL_dont	8.0	7.0	2.0	4.0	5.0	6.0	5.0	3.0	3.0	3.0	1.0	4.0	1.0	1.0	53.0
toujours_ADV_toujours	4.0	6.0	3.0	2.0	1.0	2.0	13.0	3.0	2.0	3.0	4.0	3.0	5.0	2.0	53.0
cela_PRO:DEM_cela	5.0	8.0	1.0	5.0	5.0	3.0	6.0	6.0	0.0	6.0	2.0	3.0	2.0	1.0	53.0
ami_NOM_ami	11.0	1.0	0.0	2.0	2.0	4.0	1.0	7.0	4.0	9.0	7.0	2.0	1.0	2.0	53.0
femmes_NOM_femme	7.0	6.0	2.0	0.0	13.0	3.0	5.0	2.0	5.0	3.0	0.0	4.0	1.0	1.0	52.0
être_VER:infi_être	3.0	4.0	8.0	4.0	4.0	8.0	3.0	4.0	3.0	1.0	2.0	4.0	4.0	0.0	52.0
monde_NOM_monde	7.0	5.0	5.0	2.0	8.0	6.0	5.0	2.0	0.0	2.0	2.0	4.0	3.0	0.0	51.0
autre_ADJ_autre	2.0	4.0	0.0	3.0	4.0	3.0	6.0	3.0	2.0	11.0	4.0	4.0	5.0	0.0	51.0
Mon_NAM_mon	3.0	4.0	4.0	8.0	0.0	4.0	2.0	1.0	7.0	6.0	6.0	2.0	2.0	2.0	51.0
dire_VER:infi_dire	9.0	4.0	4.0	4.0	7.0	0.0	3.0	6.0	5.0	3.0	2.0	2.0	1.0	1.0	51.0
gens_NOM_gens	2.0	0.0	5.0	1.0	9.0	5.0	3.0	1.0	5.0	6.0	7.0	3.0	4.0	0.0	51.0
cœur_NOM_cœur	8.0	3.0	3.0	4.0	3.0	0.0	4.0	4.0	7.0	4.0	1.0	2.0	3.0	4.0	50.0
Les_DET:ART_le	4.0	3.0	5.0	2.0	3.0	5.0	7.0	2.0	4.0	2.0	6.0	5.0	1.0	1.0	50.0
faut_VER:pres_falloir	8.0	5.0	3.0	2.0	7.0	3.0	2.0	2.0	0.0	6.0	4.0	2.0	5.0	1.0	50.0
jour_NOM_jour	8.0	3.0	7.0	2.0	1.0	9.0	3.0	2.0	6.0	1.0	1.0	1.0	5.0	1.0	50.0
C'_NAM_c'	1.0	4.0	2.0	5.0	2.0	2.0	3.0	1.0	4.0	8.0	7.0	2.0	3.0	4.0	48.0
sais_VER:pres_savoir	5.0	4.0	2.0	2.0	2.0	8.0	1.0	6.0	4.0	2.0	2.0	7.0	3.0	0.0	48.0
eut_VER:simp_avoir	2.0	1.0	4.0	6.0	2.0	1.0	3.0	6.0	2.0	2.0	4.0	4.0	7.0	4.0	48.0
mes_DET:POS_mon	5.0	8.0	5.0	1.0	7.0	7.0	4.0	0.0	2.0	2.0	3.0	3.0	1.0	0.0	48.0
Non_NAM_non	2.0	4.0	1.0	9.0	3.0	0.0	1.0	7.0	2.0	4.0	1.0	7.0	5.0	2.0	48.0
ici_ADV_ici	7.0	6.0	3.0	2.0	4.0	6.0	1.0	1.0	3.0	8.0	0.0	2.0	3.0	2.0	48.0
petit_ADJ_petit	8.0	2.0	5.0	1.0	7.0	5.0	3.0	0.0	5.0	4.0	1.0	3.0	4.0	0.0	48.0
